accession,source_host,source_organism,isolate,isolation_source,geo_loc_name,collection_date,metadata_source,reported_host_override
QGY72640.1,Plasmopara viticola,Plasmopara viticola lesion associated mycobunyavirales-like virus 3,DMG-A_DN35670,,Italy,2018,NCBI GenBank source feature
UYL95517.1,Dermacentor silvarum,Heihe tick virus 1,TIGMIC 1,field -- flagging at various sites,China: Heilongjiang,2019,NCBI GenBank source feature
WNO14964.1,Culex quinquefasciatus,Snownnecut virus,F1422,individual female mosquito body,Cambodia:Kampong Thom,15-Oct-2019,NCBI GenBank source feature
XNX43324.1,grapevine,Grapevine wood holobiome associated bunya-like virus 2,c25,,Argentina,Nov-2017,NCBI GenBank source feature,Vitis vinifera
ALD89133.1,Rhizoctonia solani,Rhizoctonia solani negative-stranded virus 4,Rs1018b,,USA,01-Jun-2013,NCBI GenBank source feature
YP_010085115.1,Fusarium graminearum,Fusarium graminearum dsRNA mycovirus 2,98-8-60,,South Korea,1998,NCBI GenBank source feature
WPA94612.2,Fusarium proliferatum,Fusarium proliferatum chrysovirus 1,,,China,2021,NCBI GenBank source feature
YP_009158913.1,Fusarium oxysporum f. sp. dianthi,Fusarium oxysporum f. sp. dianthi mycovirus 1,Fod116,,Spain,2008,NCBI GenBank source feature
UVZ34689.1,Botryosphaeria dothidea,Botryosphaeria dothidea chrysovirus 1-like,,,China,2010,NCBI GenBank source feature
QKO02074.2,Macrophomina phaseolina,Macrophomina phaseolina chrysovirus 2,2012-022,,China,,NCBI GenBank source feature
BBC45614.1,Aspergillus fumigatus IFM 41362,Alphachrysovirus aspergilli,,,Japan,,NCBI GenBank source feature
YP_010088049.1,Coniella diplodiella,Coniothyrium diplodiella chrysovirus 1,CREA-VE-6SY1,grapevine wood tissues,Italy,2017,NCBI GenBank source feature
WRW25202.1,Bipolaris maydis,Bipolaris maydis chrysovirus 2,HN081,corn plant,"China: Wuhan, Hubei",12-Sep-2020,NCBI GenBank source feature
YP_010088028.1,Aspergillus thermomutatus,Betachrysovirus aspergilli,NZCV1,Left ear,New Zealand,10-Jul-2012,NCBI GenBank source feature
QKV50734.1,Alternaria tenuissima,Alternaria alternata chrysovirus 1,,host strain SD-BZF-12,China,2015,NCBI GenBank source feature
KAE8348079.1,,Aspergillus coremiiformis,,,,,NCBI GenBank source feature
